EntrezGeneID,EntrezGeneSymbol,UniProt
1805,DPT,Q07507
1807,DPYS,Q14117
1809,DPYSL3,Q14195
1810,DR1,Q01658
1820,ARID3A,Q99856
1823,DSC1,Q08554
1824,DSC2,Q02487
1825,DSC3,Q14574
1826,DSCAM,O60469
1827,RCAN1,P53805
1828,DSG1,Q02413
1829,DSG2,Q14126
1830,DSG3,P32926
1831,TSC22D3,Q99576
1837,DTNA,Q9Y4J8
1839,HBEGF,Q99075
1840,DTX1,Q86Y01
1841,DTYMK,P23919
1845,DUSP3,P51452
1846,DUSP4,Q13115
1848,DUSP6,Q16828
1854,DUT,P33316
1856,DVL2,O14641
1859,DYRK1A,Q13627
1875,E2F5,Q15329
1889,ECE1,P42892
1890,TYMP,P19971
1891,ECH1,Q13011
1892,ECHS1,P30084
1893,ECM1,Q16610
1896,EDA,Q92838
1906,EDN1,P05305
1908,EDN3,P14138
1915,EEF1A1,P68104
1933,EEF1B2,P24534
1936,EEF1D,P29692
1937,EEF1G,P26641
1942,EFNA1,P20827
1943,EFNA2,O43921
1944,EFNA3,P52797
1945,EFNA4,P52798
1946,EFNA5,P52803
1947,EFNB1,P98172
1948,EFNB2,P52799
1949,EFNB3,Q15768
1950,EGF,P01133
1956,EGFR,P00533
1964,EIF1AX,P47813
1965,EIF2S1,P05198
1967,EIF2B1,Q14232
1969,EPHA2,P29317
1973,EIF4A1,P60842
1974,EIF4A2,Q14240
1975,EIF4B,P23588
1977,EIF4E,P06730
1978,EIF4EBP1,Q13541
1979,EIF4EBP2,Q13542
1981,EIF4G1,Q04637
1982,EIF4G2,P78344
1983,EIF5,P55010
1984,EIF5A,P63241
1990,CELA1,Q9UNI1
1991,ELANE,P08246
1992,SERPINB1,P30740
1993,ELAVL2,Q12926
1994,ELAVL1,Q15717
2001,ELF5,Q9UKW6
2002,ELK1,P19419
2004,ELK3,P41970
2005,ELK4,P28324
2022,ENG,P17813
2023,ENO1,P06733
2026,ENO2,P09104
2027,ENO3,P13929
2028,ENPEP,Q07075
2029,ENSA,O43768
2035,EPB41,P11171
2036,EPB41L1,Q9H4G0
2039,DMTN,Q08495
2040,STOM,P27105
2041,EPHA1,P21709
2042,EPHA3,P29320
2043,EPHA4,P54764
2044,EPHA5,P54756
2045,EPHA7,Q15375
2046,EPHA8,P29322
2047,EPHB1,P54762
2048,EPHB2,P29323
2049,EPHB3,P54753
2050,EPHB4,P54760
2051,EPHB6,O15197
2053,EPHX2,P34913
2054,STX2,P32856
2056,EPO,P01588
2057,EPOR,P19235
2064,ERBB2,P04626
2065,ERBB3,P21860
2066,ERBB4,Q15303
2067,ERCC1,P07992
2069,EREG,O14944
2072,ERCC4,Q92889
2079,ERH,P84090
2081,ERN1,O75460
2091,FBL,P22087
2098,ESD,P10768
2101,ESRRA,P11474
2108,ETFA,P13804
2114,ETS2,P15036
2116,ETV2,O00321
2118,ETV4,P43268
2119,ETV5,P41161
2125,EVPL,Q92817
2130,EWSR1,Q01844
2135,EXTL2,Q9UBQ6
