Module,SOMAmer,SYMBOL,ENTREZID
green,X12486.8,GLRX2,51022
green,X12494.99,GABARAPL2,11345
green,X12497.29,NUDT16L1,84309
green,X12504.26,LMOD1,25802
green,X12507.16,ITPKC,80271
green,X12509.115,COMMD1,150684
green,X12514.16,METTL1,4234
green,X12516.13,TEAD4,7004
green,X12522.6,RAD23B,5887
green,X12524.18,SAT2,112483
green,X12528.40,WRNIP1,56897
green,X12533.135,CYTH2,9266
green,X12538.19,RGS7,6000
green,X12543.76,ZNF560,147741
green,X12548.75,RRAGC,64121
green,X12551.3,ITCH,83737
green,X12557.18,NOVA1,4857
green,X12568.14,KEAP1,9817
green,X12577.100,FEN1,2237
green,X12580.7,PSMB5,5693
green,X12581.39,IMPA2,3613
green,X12585.39,ERCC1,2067
green,X12604.16,SCMH1,22955
green,X12619.14,PPM1A,5494
green,X12620.3,SEPTIN11,55752
green,X12622.96,ASH1L,55870
green,X12626.6,SENP7,57337
green,X12630.8,ARFIP2,23647
green,X12633.3,PTPN9,5780
green,X12634.79,BCAR3,8412
green,X12635.9,TRDMT1,1787
green,X12646.2,RPE,6120
green,X12649.80,MDH2,4191
green,X12651.21,PDK2,5164
green,X12661.44,GABARAPL1,23710
green,X12662.82,ECH1,1891
green,X12663.1,TST,7263
green,X12664.19,PTPN13,5783
green,X12665.16,ILF2,3608
green,X12667.2,GDA,9615
green,X12677.164,FLII,2314
green,X12681.63,USP21,27005
green,X12682.5,KYAT3,56267
green,X12683.156,DPYSL5,56896
green,X12685.57,HOMER2,9455
green,X12686.15,MPST,4357
green,X12692.56,DOT1L,84444
green,X12695.62,KLHL12,59349
green,X12696.166,PRMT3,10196
green,X12705.9,HERC1,8925
green,X12714.38,AP1G2,8906
green,X12720.71,UBQLN4,56893
green,X12721.4,TAX1BP1,8887
green,X12727.7,PTGFRN,5738
green,X12731.12,PLEKHA7,144100
green,X12732.13,MPP7,143098
green,X12743.18,BAG5,9529
green,X12746.4,CYTH4,27128
green,X12748.6,BRDT,676
green,X12750.9,ITGB2,3689
green,X12756.3,BACH2,60468
green,X12758.47,GRID2,2895
green,X12766.33,GPR142,350383
green,X12774.12,HCN1,348980
green,X12783.29,HNRNPM,4670
green,X12786.61,GPCPD1,56261
green,X12788.6,SGF29,112869
green,X12796.44,NUDT3,11165
green,X12799.65,DNAJC27,51277
green,X12807.89,ARHGAP30,257106
green,X12812.25,ACYP2,98
green,X12813.18,EHBP1,23301
green,X12814.17,RNPC3,55599
green,X12815.9,IARS1,3376
green,X12826.5,SLC5A5,6528
green,X12831.21,TESC,54997
green,X12835.101,PYDC1,260434
green,X12838.28,DUSP15,128853
green,X12846.3,FBXL5,26234
green,X12853.112,TMOD2,29767
green,X12854.3,TEAD3,7005
green,X12856.14,TMEM237,65062
green,X12864.9,NIPAL4,348938
green,X12873.11,SPN,6693
green,X12880.1,SV2A,9900
green,X12885.42,NR1D2,9975
green,X12891.1,MICALL2,79778
green,X12893.159,IFI16,3428
green,X12894.3,PAXIP1,22976
green,X12895.28,DGKB,1607
green,X12916.3,MTCP1,4515
green,X12923.51,KRT17,3872
green,X12931.16,NR3C2,4306
green,X12934.1,HERC5,51191
green,X12957.62,UQCRB,7381
green,X12975.11,KRT20,54474
green,X12976.49,SORBS3,10174
green,X12980.31,RBM22,55696
green,X12988.49,EWSR1,2130
green,X12993.21,NPLOC4,55666
green,X13013.41,PRKN,5071
green,X13025.4,FRS2,10818
green,X13042.7,KCNA10,3744
green,X13062.4,GMFG,9535
green,X13066.42,EDC4,23644
green,X13093.6,SECTM1,6398
green,X13094.75,RSPO3,84870
green,X13097.11,BCL2L2,599
green,X13098.93,VEGFD,2277
green,X13104.32,EFNB1,1947
green,X13109.82,NEGR1,257194
green,X13112.179,FSTL1,11167
green,X13113.7,SPP1,6696
green,X13118.5,SMOC1,64093
green,X13123.3,FLRT3,23767
green,X13126.52,DSC2,1824
green,X13131.5,HK1,3098
green,X13132.14,SEMA5A,9037
green,X13133.73,LTBP4,8425
green,X13228.75,MDM2,4193
green,X13240.170,SHANK1,50944
green,X13242.134,SHANK3,85358
green,X13256.21,SHANK1,50944
green,X13387.55,EHF,26298
green,X13392.13,ATP1B1,481
green,X13399.33,RELL1,768211
green,X13405.61,SPINK2,6691
green,X13408.23,WFIKKN2,124857
green,X13411.21,RNF41,10193
green,X13423.94,PRXL2A,84293
green,X13431.74,SHISAL2A,348378
green,X13432.9,ZFYVE27,118813
green,X13435.31,IL20RB,53833
green,X13436.54,MAZ,4150
green,X13438.115,CHRD,8646
green,X13449.25,SF3B4,10262
green,X13460.4,CHAD,1101
green,X13463.1,PXDN,7837
green,X13472.35,HDHD2,84064
green,X13474.40,GSTK1,373156
green,X13477.65,LTB4R,1241
green,X13482.14,CNOT1,23019
green,X13486.9,PKD2,5311
green,X13491.40,PDE6D,5147
green,X13492.44,HSPA9,3313
green,X13493.5,GRID1,2894
green,X13498.1,MIOX,55586
green,X13512.28,HNRNPR,10236
green,X13516.46,EMC4,51234
green,X13518.5,ASAP2,8853
green,X13519.112,ARHGEF25,115557
green,X13522.20,VSNL1,7447
green,X13532.25,CNEP1R1,255919
green,X13534.20,MYOM2,9172
green,X13545.97,EIF1AD,84285
green,X13563.259,ACBD7,414149
green,X13570.43,HDLBP,3069
green,X13574.50,RND1,27289
green,X13575.40,DVL2,1856
green,X13576.15,GSTP1,2950
green,X13577.25,U2AF2,11338
green,X13580.2,UAP1,6675
green,X13587.10,RACGAP1,29127
green,X13588.11,ANXA9,8416
green,X13589.10,APBB3,10307
green,X13594.158,GGA1,26088
green,X13599.15,RABEPK,10244
green,X13610.9,MAGEA10,4109
green,X13612.7,CYTIP,9595
green,X13632.10,ZYX,7791
green,X13640.5,BCL6,604
green,X13651.54,ZFP91,80829
green,X13654.1,ROCK2,9475
green,X13658.31,PDGFC,56034
green,X13659.36,ATP13A1,57130
green,X13660.76,ANGPT2,285
green,X13665.35,PPP2R3A,5523
green,X13666.222,CA10,56934
green,X13668.44,TYRO3,7301
green,X13669.6,FGFR3,2261
green,X13670.81,PLA2G2E,30814
green,X13682.47,CSF1R,1436
green,X13687.5,CCL1,6346
green,X13688.2,CAPSL,133690
green,X13690.26,BGN,633
green,X13697.51,GPD1,2819
green,X13698.28,KIAA0319L,79932
green,X13704.5,HMGCS2,3158
green,X13707.27,SPARCL1,8404
green,X13712.104,GZMA,3001
green,X13724.27,FGF19,9965
green,X13732.79,CTF1,1489
green,X13733.5,IL12B,3593
green,X13734.22,IFNL1,282618
green,X13735.1,RAP1GAP,5909
green,X13740.51,FRZB,2487
green,X13741.36,IGFBP1,3484
green,X13742.66,IL22,50616
green,X13743.56,CUL4B,8450
green,X13744.37,IL3RA,3563
green,X13934.3,MCF2L,23263
green,X13943.38,DPY30,84661
green,X13947.371,NUDT12,83594
green,X13948.50,GABBR2,9568
green,X13954.9,GNPNAT1,64841
green,X13958.5,RBM46,166863
green,X13960.15,AGAP3,116988
green,X13963.7,TOLLIP,54472
green,X13967.14,TXNRD1,7296
green,X13969.24,KPNA6,23633
green,X13978.122,TBX3,6926
green,X13982.33,RGS18,64407
green,X13986.6,LANCL1,10314
green,X13991.47,EIF4G3,8672
green,X13992.12,NSF,4905
green,X14022.17,IL17B,27190
green,X14023.84,IBSP,3381
green,X14025.18,TNFRSF9,3604
green,X14028.22,PIK3C2A,5286
green,X14029.42,COPS2,9318
green,X14036.116,MPDZ,8777
green,X14037.18,RANBP3,8498
green,X14038.130,CST7,8530
green,X14042.11,SFRP1,6422
green,X14048.7,IL1RAP,3556
green,X14050.61,EFNA4,1945
green,X14052.26,UNC13A,23025
green,X14054.17,IL15RA,3601
green,X14064.21,PGLYRP1,8993
green,X14066.49,MAGI2,9863
green,X14067.6,PKP2,5318
green,X14068.29,CCL25,6370
green,X14070.56,ITSN1,6453
green,X14076.74,CST4,1472
green,X14078.69,XCL1,6375
green,X14079.14,IL18R1,8809
green,X14081.5,ULBP1,80329
green,X14085.28,IL13,3596
green,X14086.11,SMPDL3A,10924
green,X14093.10,FLT3LG,2323
green,X14099.20,PSMA4,5685
green,X14100.63,C1QC,714
green,X14101.2,CNTFR,1271
green,X14102.6,GNLY,10578
green,X14108.15,TGFB1,7040
green,X14110.200,SPARC,6678
green,X14111.15,THBS2,7058
green,X14112.40,RELT,84957
green,X14114.18,PIANP,196500
green,X14123.34,VSIR,64115
green,X14124.6,EFNA2,1943
green,X14127.240,IFNB1,3456
green,X14128.121,IFNA10,3446
green,X14131.37,EFNB2,1948
green,X14132.21,HHLA2,11148
green,X14134.49,AMIGO2,347902
green,X14136.234,CD93,22918
green,X14139.16,NRG4,145957
green,X14153.8,EFNA3,1944
green,X14178.18,CDKN3,1033
green,X14205.6,HEXIM2,124790
green,X14208.3,RBP7,116362
green,X14227.21,MYL6B,140465
green,X14254.27,PTPN4,5775
green,X14268.4,SRXN1,140809
green,X14271.23,RAB6B,51560
green,X14273.19,PREP,5550
green,X14283.12,RAB14,51552
green,X14291.53,AGAP2,116986
green,X14294.61,MBD1,4152
green,X14334.3,RCVRN,5957
green,X14337.1,TRAPPC3,27095
green,X14341.8,DIPK1C,125704
green,X14583.49,MSTN,2660
green,X14603.51,KIAA0040,9674
green,X14615.46,KRTAP2-4,85294
green,X14623.26,SUMO3,6612
green,X14628.72,FBXO3,26273
green,X14631.22,DUSP16,80824
green,X14663.44,RNF8,9025
green,X14675.20,EIF4B,1975
green,X14684.17,CAPN2,824
green,X14689.3,SEC13,6396
green,X14705.1,VEGFD,2277
green,X14711.27,CST6,1474
green,X14713.46,AZU1,566
green,X14747.9,CRLF1,9244
green,X14748.31,ARHGAP5,394
green,X14755.4,LTF,4057
green,X15298.199,NETO1,81832
green,X15299.102,MESD,23184
green,X15305.7,SCGN,10590
green,X15308.108,VWC2,375567
green,X15313.28,MAD2L1,4085
green,X15321.8,CPLX2,10814
green,X15322.35,CRADD,8738
green,X15324.58,FTL,2512
green,X15325.14,GAP43,2596
green,X15333.11,SDF2,6388
green,X15336.7,SELENOM,140606
green,X15339.32,CFL2,1073
green,X15358.28,SCG5,6447
green,X15365.41,ADGRB3,577
green,X15368.3,BMPER,168667
green,X15370.5,BOLA1,51027
green,X15375.49,CPB1,1360
green,X15376.134,CTSE,1510
green,X15381.45,DDR2,4921
green,X15384.15,KL,9365
green,X15387.44,NRP2,8828
green,X15388.24,FCGR3A,2214
green,X15391.114,GAS6,2621
green,X15394.79,UNC5B,219699
green,X15395.15,GSTM1,2944
green,X15398.2,GFER,2671
green,X15402.2,ID1,3397
green,X15414.316,LDHA,3939
green,X15422.12,PMP2,5375
green,X15426.5,NEU1,4758
green,X15427.35,LOXL3,84695
green,X15434.5,PNOC,5368
green,X15436.40,RAMP1,10267
green,X15440.57,PCSK2,5126
green,X15441.6,GM2A,2760
green,X15447.45,SORD,6652
green,X15452.5,NT5E,4907
green,X15455.40,ADAM15,8751
green,X15462.28,CD8A,925
green,X15465.79,CNPY4,245812
green,X15470.11,HEXB,3074
green,X15472.16,LRP11,84918
green,X15480.2,VNN2,8875
green,X15491.20,CD248,57124
green,X15492.1,CRIM1,51232
green,X15495.9,FOLR3,2352
green,X15499.11,ATRN,8455
green,X15503.15,LEFTY2,7044
green,X15506.34,LRP12,29967
green,X15509.2,NAGLU,4669
green,X15511.37,NPTXR,23467
green,X15513.108,PRSS8,5652
green,X15514.26,BCHE,590
green,X15521.4,CLSTN1,22883
green,X15524.30,PGAM2,5224
green,X15526.33,GSS,2937
green,X15527.90,DLD,1738
green,X15530.33,EPHB4,2050
green,X15533.97,MSR1,4481
green,X15534.26,MDH2,4191
green,X15535.3,PRSS27,83886
green,X15542.19,CKMT1A,548596
green,X15545.13,PPP3R1,5534
green,X15553.22,ACHE,43
green,X15556.49,AMY2B,280
green,X15559.5,ANTXR2,118429
green,X15560.52,TCN2,6948
green,X15562.24,GUSB,2990
green,X15565.102,MUC16,94025
green,X15566.10,CNN1,1264
green,X15567.2,CD247,919
green,X15573.110,NCAN,1463
green,X15576.158,RNASE3,6037
green,X15579.26,ENPP6,133121
green,X15580.2,EPHA7,2045
green,X15583.18,FCRLB,127943
green,X15585.304,FBLN5,10516
green,X15587.20,FOLR2,2350
green,X15588.17,GLA,2717
